Name,Code,ICAO
Franconia Air Service,,FRC
Freebird Airlines,FH,FHY
Freebird Airlines Europe,MI,FHM
Freedom Airline Express,4F,FDT
Freedom Airline Express,4K,SMK
Freight Runners Express,,FRG
French bee,BF,FBU
Frontier Airlines,F9,FFT
FROST,,FRO
FSH Aviation,,LEJ
FTL Airlines,C0,FGO
Fuji Dream Airlines,JH,FDA
Fuzhou Airlines,FU,FZA
FX TerraDynamics,,FTX
GainJet,,GNJ
Galistair Infinite Aviation,8S,GTR
Gama Aviation,,GMA
Gama Aviation Cayman,,GKY
Gama Aviation UAE,,GSH
Garuda Indonesia,GA,GIA
Gazpromavia,4G,GZP
Gelix Airlines,,GAI
Gelix Airlines,,GLX
General Atomic AeroTech Systems,,DOR
Genex,,GNX
Genghis Khan Airlines,9D,NMG
Georgian Airlines,GH,IGT
Georgian Airways,A9,TGZ
Georgian Aviation University,,AUG
Geosky,D4,GEL
German Airways,ZQ,GER
Germany - Air Ambulance,,CHX
Germany - Air Force,,GAF
Germany - Army,,GAM
Germany - DLR Flugbetriebe,,LFO
Germany - Navy,,GNY
Gesellschaft Fur Flugzieldarstellung,,GFD
Gestair,,GES
Gestair Malta,,GSM
Getjet Airlines,GW,GJT
Getjet Airlines Latvia,,DML
Gewan Airlines,,GWN
Ghadames Air Transport,NJ,GMS
Ghana - Air Force,,GHF
Glasym,,EYH
Global Air Charters,,GJE
Global Air Transport,5S,GAK
Global Airways,,GBL
Global Aviation,,MSS
Global Aviation,,GEA
Global Aviation Burkina Faso,,GBF
Global Jet Austria,,GLJ
Global Jet Luxembourg,,SVW
Global Reach Aviation,,GAV
Global Wings,,GWW
GlobalX,G6,GXA
GlobeAir,,GAC
Go First,G8,GOW
Go Jet Aviation,,GYS
Go2Sky,6G,RLX
GoJet ,G7,GJS
GOL Linhas Aereas,G3,GLO
Goldeck Flug,,GDK
GoodJET,,GDG
Gouvernement du Quebec,,QUE
GP Aviation,IV,GPX
Grafair,,GFM
Grand Canyon Airlines,YR,CVU
Grand China Air,CN,GDC
Grant Aviation,GV,GUN
Greater Bay Airlines,HB,HGB
Greece - Air Force,,HAF
Greece - Army,,HLA
Greece - Navy,,HNA
Green Africa,Q9,GWG
Greybird Aviation,,GAG
Gryphon Air,,GRP
GTA Air,,GTX
Guardian Air,,GRA
Gulf Air,GF,GFA
Gulf and Caribbean Cargo,IF,TSU
Gulf Wings,,GWC
Gulfstream Aerospace,,GLF
GullivAir,G2,GBG
Gum Air,,GUM
Guna Airlines,,GUA
GX Airlines,GX,CBG
Hahn Air,HR,HHN
Hai Au Aviation,,HAI
Hainan Airlines,HU,CHH
Hala Air,HG,HTP
Halla Airlines,,HGA
Hangar 8,,HGR
Hanseo University,,HSF
Harco Aviation,,HRC
Harmony Jets,,HMJ
Haute Aviation,,BOM
Haute Aviation,,HUE
Hawaiian Airlines,HA,HAL
Hayways,Y5,HYY
Hebei Airlines,NS,HBH
Heli Air Monaco,YO,MCM
Heli Air Services,,HLR
Heli Holland,,HHE
Heli Securite,,HLI
Heli Service International,,HSO
Héli-Union,,HLU
Helibravo,,HIB
Helicol,,HEL
HeliDubai,,HDB
Helijet International,,JBA
Helistar,,HTS
Helistar,,HSR
Helitrans,,HDR
HELITY Copter Airlines,,HTY
Hello Jets,H3,HLJ
Helvetic Airways,2L,OAW
Henley Air,,HGH
Hera Flight,,HER
Hermes Airlines,H3,HRM
Heron Aviation,,HRN
Heston Airlines,HN,HST
Hi Fly,5K,HFY
Hi Fly Malta,3L,HFM
Himalaya Airlines,H9,HIM
Hinterland Aviation,OI,HND
HiSky,H7,HYM
HiSky Europe,H4,HYS
HK express,UO,HKE
HNV Cote d'Ivoire,,HNZ
Hokkaido Air System,,NTH
Holiday Europe,5Q,HES
Honeywell International,,HNW
Hong Kong - Government Flying Service,,GFS
Hong Kong Air Cargo,RH,HKC
Hong Kong Airlines,HX,CRK
Hop-A-Jet,,HPJ
Horizon Air,QX,QXE
Hoverfly,,HOV
HTM Helicopter Travel Munich,,HTM
Hummingbird Aviation,,ETI
Hungary - Air Force,,HUF
Hunnu Air,MR,MML
Hydro-Québec,0Q,HYD
Hyperion Aviation,,HYP
I-Fly,F7,RSY
I-Fly Air,,IFY
IAS Medical,,MDI
IASCO Flight Training,,MMY
IBC Airways,II,CSQ
Iberia,IB,IBE
Iberia Express,I2,IBS
Iberojet,E9,EVE
Ibex Airlines,FW,IBX
Ibom Air,QI,IAN
Icar Air,,RAC
Iceland - Coast Guard,,ICG
Icelandair,FI,ICE
ICS-Aero,,ICF
IFA - Instituto de Formacao Aeronautica,,IFJ
IFL Group,,IFL
Ikar,EO,KAR
Image Air Charter,,BMG
ImperialJet,,PNK
ImperialJet,,JTI
India - Air Force,,IFC
Indiana State University Flight Academy,,ISU
IndiaOne Air,I7,IOA
IndiGo,6E,IGO
Indonesia AirAsia,QZ,AWQ
Initium Aviation,,INI
Inner Mongolia Express,,IME
iNTAIRLINE,,ITI
Integra Jet,,IJR
Intel Air Shuttle,,HGT
InterCaribbean Airways,JY,IWY
InterJet West,K8,IJW
International Committee of the Red Cross,,RED
International Jet,,IJA
International Jet Management,,IJM
IrAero,IO,IAE
Iran Air,IR,IRA
Iran Airtour,B9,IRB
Iran Aseman Airlines,EP,IRC
Iraq Gate Company,,IGC
Iraqi Airways,IA,IAW
Irving Oil Transport,,KCE
Island Wings Charter,,IWL
Israir Airlines,6H,ISR
ITA Airways,AZ,ITY
Italfly,,ITL
Italy - Air Force,,IAM
Italy - Army,,IEI
Italy - Coast Guard,,GCI
Italy - Navy,,MMI
iXAir,,IXR
Izhavia,I8,IZA
J D Aviation,,JDA
JA Air Charter,,LTD
Jackson Demolition Service,,JDS
Jambojet,JM,JMA
Japan Air Commuter,JC,JAC
Japan Airlines,JL,JAL
Japan Transocean Air,NU,JTA
Jayawijaya Dirgantara,,JWD
Jazeera Airways,J9,JZR
Jazz Aviation,QK,JZA
JC Bamford Excavators,,JCB
JDL Airlines,JG,JDL
Jeju Air,7C,JJA
Jet Access Aviation,,JXA
Jet Aviation Business Jets,PP,PJS
Jet Aviation Business Jets Deutschland,,JBD
Jet Aviation Flight Services,,JAS
Jet Charter,N2,JCT
Jet Concierge Club,,JCO
Jet Edge,,EDG
Jet Executive,,JEI
Jet Fly Airline,,JFL
Jet It,,JIT
Jet Linx Aviation,JL,JTL
Jet Logistics,,JLG
Jet Net Services,,JNS
Jet OUT,,CRE
Jet Rescue Air Ambulance,,MTS
Jet Sky Airways,JK,JTK
Jet Story,,JDI
Jet Test International,,JTN
Jet View,,JVW
Jet2,LS,EXS
Jetbee Czech,,JBC
JetBlue,B6,JBU
Jetcall,,JCL
Jetconnect,,QNZ
JetFlite,,JEF
Jetfly Aviation,,JFA
JetHouse,,JTH
Jetkontor,,JKH
JetNetherlands,,JNL
jetNEXA,,JNX
Jetology,,JTY
JetRight,,JRT
Jetset,,CEO
JetSMART,JA,JAT
JetSMART Argentina,WJ,JES
JetSMART Colombia,J6,JEC
JetSMART Peru,JZ,JAP
Jetspremier,,JPM
Jetstar,JQ,JST
Jetstar Asia,3K,JSA
Jetstar Japan,GK,JJP
JetStream,,JSH
Jetstream Aviation Congo,,JSC
JetStream Charter,,VTB
Jettime,JP,JTD
Jetways Airlines,WU,JWX
Jhonlin Air Transport,,JLB
Jiangxi Air,RY,CJX
Jiangxi Express Commuter Aviation,,KXA
Jin Air,LJ,JNA
Jinxiang Airlines,,JXX
Jivair,,JIV
John Deere,,JDC
JoinJet,,JNJ
Jonair,,JON
Jonika,,JNK
Jordan - Air Force,,RJZ
Jordan Aviation,R5,JAV
Journey Aviation,,JNY
JoyAir,JR,JOY
JS Aviation,,JSM
Jsky Airlines,,ISP
JSX,XE,JSX
Jubba Airways,3J,JBW
Jump Air,,JUP
Juneyao Air,HO,DKH
Jung Sky,,JSY
K&R Aviation,,OPN
K-Mile Air,8K,KMI
K5-Aviation Germany,,KAY
KaiserAir,,KAI
Kalitta Air,K4,CKS
Kalitta Charters,K9,KFS
Kalitta Charters II,K5,KII
Kam Air,RQ,KMF
Kamaka Air,,KMK
Kangala Air Express,,KAE
Kansas State University Aviation,,KSU
Karun Airlines,,KRU
Keewatin Air,FK,KEW
Kelowna Flightcraft Air,FK,KFA
Kenai Aviation,,KNW
Kenmore Air,M5,KEN
Kenn Borek Air,4K,KBA
Kent State University College of Aeronautics,,KSF
Kenya Airways,KQ,KQA
Key Air,,KEY
Key Lime Air,KG,LYM
KhabAvia,,KHF
Kingfisher Air,,BEZ
Kish Air,,KIS
KlasJet,,KLJ
KLM,KL,KLM
KLM Cityhopper,WA,KLC
KM Malta Airlines,KM,KMM
KN Helicopters,,SHW
Kolob Canyons Air Services,,KCR
Komiaviatrans,KO,KMA
Korea Aerospace University,,HGD
Korea Aviation College,,KAG
Korea National University of Transportation,,KTU
Korean Air,KE,KAL
Kosmos Airlines,,KSM
Krasavia,KV,SSJ
Kudlik Aviation,,KUK
Kunming Airlines,KY,KNA
Kush Aviation,,KUH
Kuwait Airways,KU,KAC
Kyungwoon University,,WCD
L.J. Aviation,,LJY
L3Harris Airline Academy,,LFA
La Compagnie,B0,DJT
La Costena,LC,NIS
Labcorp,,SKQ
LADE,5U,LDE
LAM,TM,LAM
Lanexang Airways International,,LXW
Lao Airlines,QV,LAO
Lao Skyway,LK,LLL
LAS Cargo,4L,LAU
Laser Airlines,QL,LER
LATAM Airlines,LA,LAN
LATAM Brasil,JJ,TAM
LATAM Cargo,UC,LCO
LATAM Cargo Brasil,M3,LTG
LATAM Cargo Colombia,L7,LAE
LATAM Chile,LU,LXP
LATAM Colombia,4C,ARE
LATAM Ecuador,XL,LNE
LATAM Paraguay,PZ,LAP
LATAM Peru,LP,LPE
Latvia - Air Force,,LAF
Lauda Europe,LW,LDA
Leader,,LSA
LEAV Aviation,KK,NGN
Legacy Airways,,LGF
Legend Airlines,LZ,LAL
Legends Airways,,DVY
LeTourneau University Aviation,,JKA
Level,LL,LVL
Leviate Air Group,,SBE
Levu Air Cargo,,LVU
LIAT 20,5L,GAO
Libya - Air Force,,LBF
Libyan Airlines,LN,LAA
Libyan Express,,LXX
Libyan Wings,YL,LWA
Liebherr Aerospace,,LHB
Life Line Aviation,,LLK
Lift,GE,GBB
LIFT Academy,,LTA
Linkasia,9L,LAI
Lion Air,JT,LNI
Lion Helicopters,,LHE
Lipican Aer,8I,LIP
Lithuania - Air Force,,LYF
Liz Aviation,L0,LAZ
LLC H3Operations,,UHO
Loganair,LM,LOG
Lone Star Aviators,,BST
LongJiang Airlines,LT,SNG
Longtail Aviation,6T,LGT
Loong Air,GJ,CDC
LOT,LO,LOT
Lucky Air,8L,LKE
Lufthansa,LH,DLH
Lufthansa Cargo,,GEC
Lufthansa City,VL,LHX
Lufthansa CityLine,CL,CLH
Lufttransport,,LTR
Luminair,,LUA
Lumiwings,L9,LWI
Lunds Universitet,,UNY
Luxair,LG,LGL
Luxaviation,,LXA
Luxaviation Belgium,,AAB
Luxaviation E.A,,LMJ
Luxaviation Germany,,LXG
Luxaviation UK,,LNX
Luxembourg Air Ambulance,,LRQ
Luxwing,BN,LWG
Lydd Air,,LYD
Lynden Air Cargo,L2,LYC
Madagascar Airlines,MD,MGY
MAE Aircraft Management,MA,MEN
Maersk Air Cargo,DJ,SRR
Maersk Air Cargo UK,,MUK
Magnicharters,UJ,GMT
Mahan Air,W5,IRM
Makers Air,,WMA
Malawi Airlines,3W,MWI
Malaysia - Air Force,,RMF
Malaysia Airlines,MH,MAS
Maldivian,Q2,DQA
Maleth-Aero,DB,MLT
Mali Air,,MAE
Malta Air,MW,MAY
Malta MedAir,MT,MMO
Manasik Aviation,XN,MNM
Mandarin Airlines,AE,MDA
Mann Yadanarpon Airlines,7Y,MYP
Manta Air,NR,MAV
Map Linhas Aereas,7M,PAM
Marabu,DI,MBU
Marathon Airlines,O8,MTO
Marshall University Aviation,,HRD
Martinair,MP,MPH
Martinaire,,MRA
Martin’s Famous Pastry Shoppe,,HGE
mas,M7,MAA
Massey University School of Aviation,,MSY
MASwings,MY,MWG
Mater Logistics,,TKH
Mauritania Airlines,L6,MAI
Mavi Gök Airlines,4M,MGH
Max Air,VM,NGL
Max Air,,FCE
Max Aviation,,MAX
Maxair,,NTW
Maximus Airlines,6M,MXM
Maya Island Air,2M,MYD
McCall Aviation,,MKL
McNeely Charter Services,,MDS
MEA,ME,MEA
Med-Trans,,MEK
Medavia,,MDM
Medimpact,,NDG
Medsky Airways,BM,MNS
Mel Air,5M,MDO
Memorial Hermann Life Flight,,RDK
Meraj Airlines,,MRJ
Mercury Air Cargo,4X,MEC
Meregrass,,QHD
Meridian,,MEM
Meridian Air Company,,MMM
Mermoz-Academy,,MZY
Mesa Airlines,YV,ASH
Mexicana,XN,MXA
Mexicana,,MEX
Mexico - Air Force,,FAM
Mexico - Government,,MXG
Mexico - Navy,,ANX
MHS Aviation,M2,MHV
Miami Air Lease,,MGD
MIAT Mongolian Airlines,OM,MGL
MicroJet,,MCJ
Mid Africa Aviation,,MFG
MidAmerica Jet,,MJR
Middle Georgia State University School of Aviation,,NIT
Middle Tennessee State University Aerospace,,MTU
Midwest Aviation,,DZR
Midwest Aviation Division,,MWT
Millesime Aviation,,MIM
Mingalar,K7,KBZ
MJet,,MJF
MJets Air,WW,KXP
MNG Airlines,MB,MNB
Moalem Aviation,,AMA
Moçambique Expresso,,MXE
Modern Logistics,WD,MWM
Monacair,QM,MCR
Mongolian Airways,XF,MGW
Morningstar Air Express,,MAL
Motor Sich Airlines,M9,MSI
Mountain Air Cargo,,MTN
Mountain Aviation,,FTH
Mountain Flyers,,MFB
Move,,MVE
MPC Air,,MPC
Multiflight,,MFT
My Freighter,C6,MFX
My Indo Airlines,2Y,MYU
My Jet,,MYJ
Myanmar Airways International,8M,MMA
Myanmar National Airlines,UB,UBA
MyWay Airlines,MJ,MYW
Naljets,,APX
Nam Air,IN,LKN
Namibia - Defence Force,,NDF
Nantucket Airlines,,ACK
National Air Charters,JY,JYA
National Airlines,N8,NCR
National Airways,9Y,NAE
National Airways Corporation,,NTN
National Jet Express,NC,JTE
National Jet Systems,,QJE
National Jets,,EGS
NATO,,OAN
Nauru Airlines,ON,RON
Naysa,ZN,NAY
NEAJETS,,NEW
Neojets,,NJZ
Neos,NO,NOS
Nepal Airlines,RA,RNA
Nesma Airlines,NE,NMA
Netherlands - Coast Guard,,NCG
Netherlands - Navy,,NRN
Netherlands - Royal Air Force,,NAF
NetJets,,EJA
NetJets Europe,,NJE
Netjets UK,,NJU
Network Aviation,,NWK
New England Airlines,EJ,NEA
New England Patriots,,UDG
New Pacific Airlines,7H,RVF
New Way Cargo Airlines,NU,NWY
New Zealand - Royal New Zealand Air Force,,KIW
NexGen Aviation,,NXC
NextGen Flight Solutions,,XGN
NG Eagle,2N,XLE
NHC Northern Helicopter,,NHC
NHV,,NHD
NHV Helicopters,,NHZ
Nicholas Air,,JTZ
Niger Airlines,6N,NIN
Nigeria - Air Force,,NGR
Nile Air,NP,NIA
Nippon Cargo Airlines,KZ,NCA
Noble Air Charter,,JLJ
Nok Air,DD,NOK
Nolinor Aviation,N5,NRL
Nomad Aviation,,NUM
Nomadic Aviation,,OMD
Noordzee Helikopters Vlaanderen,,NHX
Nordic Unmanned,,NOU
NordStar,Y7,TYA
Nordwind Airlines,N4,NWS
Norlandair,,FNA
NORRA,N7,FCM
Norse,N0,NBT
Norse UK,Z0,UBT
Norsk Luftambulanse,,DOC
Nortavia,,RTV
North Cariboo Air,,NCB
North Central,,NCJ
North Country Aviation,,NKT
North Flying,,NFA
North Star Aviation,,MVK
North-West Air Company,0E,NWC
North-Western Cargo International Airlines,CO,CNW
North-Wright Airways,HW,NWL
Northern Air,,NLI
Northern Air Cargo,NC,NAC
Northern Air Fiji,,FJN
Northern Jet Management,,NJM
Northern Thunderbird Air,,NTA
Northway Aviation,,NAL
Northwest Flyers,,NWF
Northwestern Air,J3,PLR
Norway - Air Force,,NOW
Norwegian,DY,NOZ
Norwegian Air Sweden,D8,NSZ
Nouvelair,BJ,LBT
Nova Airways,,NOV
Novair,NG,NAI
NovaJet,,NOJ
Novoair,VQ,NVQ
Nyxair,OJ,NYX
Offshore Helicopter Services,,ULR
Ohio State University Aviation,,OSU
OK Aviation,,NTF
Okay Airways,BK,OKA
Oklahoma State University Aviation,,OST
Olympic Air,OA,OAL
Olympus Airways,,OLY
Oman - Royal Air Force,,MJN
Oman Air,WY,OMA
Omni Air International,OY,OAE
Omni Air Transport,,DRL
Omni Aviation,,OAV
Omni Aviation Training Center,,ONI
Omni Taxi Aereo,,OMI
One Air,HC,HGO
One Air Aviacion,,OAR
One Airways,OX,OEW
One Caribbean,,VCY
Orbest,6O,OBS
Oriental Air Bridge,OC,ORC
Origin Air,OG,OGN
Ornge Air,,PUL
Ortac,,ORT
Oscar Jet,,OSJ
OSM Aviation Academy,,SCQ
Overland Airways,OF,OLA
Owenair,,OWE
Owyhee Air Research,,WWF
Oyonnair,,OYO
P80 Air,,PMG
PACC Air,,WIS
Pacific Coast Jet,,PXT
Pacific Coastal Airlines,8P,PCO
Pacifica de Aviacion,PF,PFC
PADAviation,,PVD
Pakistan International Airlines,PK,PIA
PAL Aerospace,,SPR
PAL Airlines,PB,PVL
PAL Express,2P,GAP
Palau Express Airlines,P9,PXC
Pan American Airways,PN,PAA
Pan Europeenne,,EUP
Pan Europeenne Air Service,,PEA
Panaviatic,,VPC
Panellenic Airlines,,RJB
Panorama Airways,5P,UZP
Panorama Aviation,,PNO
Paradox Jets,,PJJ
Paranair,ZP,AZP
Parata Air,,FGW
Parkland College Institute of Aviation,,ILU
Pars Air,,PRS
Pascan Aviation,P6,PSC
PassionAir,OP,DIG
Patient Airlift Services,,PLZ
Patria Pilot Training,,PPT
Patriot Aviation,,PTT
Pattaya Airways,VV,PTW
PDG Aviation Services,,PDG
Peach,MM,APJ
Pecotox Air,P3,PXA
Pegasus,PC,PGT
Pegasus Elite Aviation,,PEG
Pel-Air,,PFY
Pelita Air,IP,PAS
Pen-Avia,,PDY
People's,PE,PEV
Performance Air,,PRZ
Perimeter Aviation,YP,PAG
Peru - Air Force,,FPR
Peru - Navy,,INP
Petroleum Air Service,UF,PER
Petropavlovsk-Kamchatsky Air,,PTK
PHI,,PHM
Philippine Airlines,PR,PAL
Philippines AirAsia,Z2,APG
Phoenix Aerospace,,PIX
Phoenix Air,PH,GRB
Phoenix East Aviation,,BPX
Phoenix East Aviation,,JED
Piedmont Airlines,PT,PDT
Pilatus Flugzeugwerke,,PCH
Pilot Flight Academy,,PIP
Pineapple Air,,PNP
Pink Sparrow,,SOW
Pivot Airlines,ZX,GGN
PixAir Survey,,PXR
Placar Linhas Aereas,,PLS
Planemaster Services,,PMS
PlaneSense,,CNS
Planet 9,,PVA
Platoon Aviation,,PTN
Play,OG,FPY
Plus Ultra,PU,PUE
Toki Air,BV,TOK
Pobeda,DP,PBD
Poland - Air Force,,PLF
Poland - Navy,,PNY
Polar Air Cargo,PO,PAC
Polar Airlines,PI,RKA
Polish Medical Air Rescue,,LPR
populAir,HP,APF
Porter,P3,PTR
Porter Airlines Canada,PD,POE
Portugal - Air Force,,AFP
Portugal - Army,,POA
Portugal - Navy,,PON
Portugalia Airlines,NI,PGA
Poste Air Cargo,M4,MSA
Pradhaan Air Express,6P,PRX
Pratt and Whitney,,PWC
Precision Air,PW,PRF
Precision Aircraft Management,,PRE
Premier Flight Center,,OZT
Premier Jets,,PJI
Premier Private Jets,,MVP
Presidential Aviation,,PRD
Prestige Air Group,,PGR
Priester Aviation,,PWA
Prime Aviation.,,PKZ
Prince Aviation,,PNC
Priority Air Charter,,PRY
Privaira,,PVO
Private Air,,FSY
Private Jet Center,,PJC
Private Jets,,OKC
Private Wings,JW,PWF
Privilege Style,P6,PVG
ProAir Aviation,,PAV
ProAirways,,MMN
Proflight Zambia,P0,PFZ
Propair,PP,PRO
PSA Airlines,OH,JIA
Purdue University School of Aviation,,PDU
QA Aviation,,QAV
Qanot Sharq,HH,QNT
Qantas,QF,QFA
QantasLink,,QLK
Qatar - Amiri Flight,,QAF
Qatar Airways,QR,QTR
Qatar Executive,QE,QQE
Qayatawa Air,,QYT
Qazaq Air,IQ,QAZ
Qeshm Airlines,QB,QSM
QinetiQ,,EIS
QinetiQ / Empire Test Pilots School,,ETP
Qingdao Airlines,QW,QDA
Qingdao Jiutian International Flight Academy,,QJT
Quality Fly,,QFY
Quanta Aviation Services,,PWR
Quest Diagnostics,,LBQ
Quick Air Jet Charter,,QAJ
Quikjet Cargo Airlines,QO,FQA
RAF-Avia,MT,MTL
RAM Express,,RXP
Rano Air,R4,RAN
Ravenair,,RVR
Raya Airways,TH,RMY
RCS Services,,EVC
REACH Air Medical Services,,REH
Real Tonga Airline,,RLT
Really Cool Airlines,,LUV
Rectimo Air Transports,,RTO
Rectrix Aviation,,RIX
RED Air,L5,REA
Red Rock Flight School,,ROK
Red Sea Airlines,4S,RSX
Red Wing Aviation,,LAK
Red Wings,WZ,RWZ
Redding Aero Enterprises,,BXR
Redstar Aviation,,RHH
Reeve Air Alaska,,RVV
REGA Swiss Air-Ambulance,,SAZ
REGA Swiss Air-Rescue,,RGA
Regency Air,,RGY
Regional Air Services,8N,REG
Relative Aviation,,RLV
Reliable Airlines,,HPN
Reliant Air,,RLI
Renegade Air,,RNG
Rennia Aviation,,RNI
Republic Airways,YX,RPA
Revv Aviation,,FRV
rex. Regional Express,ZL,RXA
Reynolds Jet Management,,RJE
RGA-Black Stone Airlines,,RGM
Rhoades Aviation,T4,RDS
Richland Aviation,,RCA
Richmor Aviation,,RJC
Rimbun Air,RI,OEY
RiseAir,4T,WEW
Riyadh Air,,RXI
Romania - Air Force,,ROF
ROMCargo Airlines,NJ,RCR
Roraima Airways,,ROR
Rose Air,,REM
Rossiya,FV,SDM
Rotana Jet,RG,RJD
Royal Air Freight,,RAX
Royal Air Maroc,AT,RAM
Royal Brunei Airlines,BI,RBA
Royal Jordanian,RJ,RJA
Royal Wings,JO,RYW
Royalair Philippines,RW,RYL
RS Avia,,URA
Rubystar,,RSB
Ruili Airlines,DR,RLH
RusJet,,RSJ
Rusline,7R,RLU
Russia - 223rd Flight Unit State Airline,,CHD
Russia - 224th Flight Unit State Airline,,TTF
Russia - Air Force,,RFF
Russia - Ministry of Emergency Situations (MChS),,SUM
Russia - National Guard,,RIF
Russia - Special Flight Squadron,,RSD
Rutaca Airlines,5R,RUC
RVL Aviation,,REV
RwandAir,WB,RWD
RWL German Flight Academy,,RWL
Ryan Air (USA),7S,RYA
Ryanair,FR,RYR
Ryanair UK,RK,RUK
S7 Airlines,S7,SBI
SA Red Cross Air Mercy Service,,AMD
SAAB Aircraft,,SCT
SAAB Nyge Aero,,TGT
SAF Helicopteres,,SHP
Safari Express Cargo,ZF,SXY
Safarilink Aviation,F2,XLK
Saha Airlines,,IRZ
Sahel Aviation Service,,SAO
Saint Louis University Flight School,,BKN
SalamAir,OV,OMS
Salzburg Jet Aviation,,MOZ
Sama Airline,,SDP
Samaritan's Purse,,NSP
Samoa Airways,OL,PAO
San Carlos Flight School,,BYF
San Marino Executive Aviation,,SMF
Sansa,RZ,LRS
Sapsan Airline,S2,KGB
Sardinian Sky Service,,SSR
SAS,SK,SAS
SAS Connect,SL,SZS
SAS Link,,SVS
SATA Air Acores,SP,SAT
SATENA,9R,NSE
Saudi Arabia - Air Force,,RSF
Saudi Arabia - Royal Flight,,SRA
Saudia,SV,SVA
Saurya Airlines,,SAU
Sawyer Aviation,,SJA
SaxonAir,,SXN
SC Aviation,,COL
Scanwings,,ABF
SCAT,DV,VSV
Schmiedel Air Service,,SAB
Scoot,TR,TGW
Seaborne,BB,SBS
SEair International,XO,SGD
Searca,,SRC
Secure Air Charter,,JCM
Security Aviation,,SVX
SelectJet,,JSL
Sepehran Airlines,IS,SHI
Serbia - Air Force,,SRB
Serene Air,ER,SEP
Servicio Autonomo de la Fuerza Aerea Venezolana (SAFAV),,BEM
Servicios Optimos de Aeroenlace,,ENL
Servizi Aerei,,SNM
Sevenair,,RVP
SevenBar Aviation,,SBF
Severstal Aircompany,D2,SSF
SF Airlines,O3,CSS
Shandong Airlines,SC,CDG
Shandong Dagao International Flight Academy,,RXF
Shanghai Airlines,FM,CSH
Shell Aviation,,PEX
Shenzhen Airlines,ZH,CSZ
Shirak Avia,5G,SHS
Shoreline Aviation,,CST
Shree Airlines,N9,SHA
Siam General Aviation,5E,SGN
Sichuan Airlines,3U,CSC
Sideral Linhas Aereas,,SID
Sierra Charlie Aviation,,SCA
Sierra Pacific Airlines,SI,SPA
Sierra West Airlines,,PKW
Silesia Air,,SUA
Silk Way Airlines,ZP,AZQ
Silk Way West Airlines,7L,AZG
Silkavia,US,USA
Silver Air,,SIS
Silver Air,,SLD
Silver Airways,3M,SIL
Silver Cloud Air,,SCR
Silverhawk Aviation,,SLH
Singapore - Air Force,,SAF
Singapore Airlines,SQ,SIA
Singapore Airlines Cargo,,SQC
Sino Jet,,SJM
Sino Jet Beijing,,JBE
Sirio,,SIO
Sirius Aero,SA,CIG
Sirius Airlines,,SIU
SKS Airways,KI,SJB
SKY Airline,H2,SKU
Sky Airline Peru,H8,SKX
Sky Angkor Airlines,ZA,SWM
Sky Bus,,HVY
Sky Cana,RD,SNA
SKY express,GQ,SEH
Sky Fru,,KGZ
Sky Helicopteros,,HSY
Sky Jet M.G.,DU,LIZ
Sky KG Airlines,,KGK
Sky Lease Cargo,GG,KYE
Sky Mali,ML,FML
Sky Prime Aviation,,SPD
Sky Quest,,ERY
Sky Shuttle Helicopters,A7,HHK
Sky Vision Airlines,SE,SVI
SkyAlps,BQ,SWU
Skyborne Airline Academy,,SFY
Skybus,,IOS
SkyCare,,PHX
Skyemotion,,EMO
Skyfirst,,KFE
SKYhigh Dominicana,DO,SHH
SkyJet Airlines,M8,MSJ
SkyLine Express,QU,UTN
SkyLink Express,,SLQ
Skymark Airlines,BC,SKY
SkyMark Executive,,SMB
Skypower Express Airways,NV,EAN
Skyservice Business Aviation,,SYB
Skyside,,SKV
SkyTaxi,TE,IGA
Skytrack Systems,,TTQ
Skytraders,,SND
Skytrans,QN,SKP
SkyUp Airlines,PQ,SQP
SkyUp MT,U5,SEU
Skyvalue Airways,4A,DYN
Skyward Express,OW,SEW
Skyway Enterprises,,SKZ
SkyWest Airlines,OO,SKW
SkyWest Charter,CW,SCW
Slam Lavori Aerei,,SLJ
Sling Pilot Academy,,WXX
Sloane Helicopters,,SLN
Slovakia - Air Force,,SQF
Slovakia - Government,,SSG
Slovenia - Air Force,,LSV
Slovenia - Government,,GSI
Small Fly,,GDM
Smart Aviation,,SME
Smart Jet,,SAH
Smart Jet International,,SJI
Smartavia,5N,AUL
Smartline,,SMG
SmartLynx,6Y,ART
SmartLynx Estonia,,MYX
SmartLynx Malta,2N,LYX
Smartwings,QS,TVS
Smartwings Hungary,7O,TVL
Smartwings Poland,3Z,TVP
Smartwings Slovakia,6D,TVQ
Solairus Aviation,,TWY
Solaseed Air,6J,SNJ
Solenta Aviation,,SET
Solenta Aviation Cote D'Ivoire,,SIV
Solenta Aviation Gabon,,SVG
Solinair,ZS,SOP
Solomon Airlines,IE,SOL
Soma Jets,,OZK
Somon Air,SZ,SMR
Soulbird,,OUL
Sounds Air,,SDA
South Aero,,SYX
South Africa - Air Force,,LMG
South African Airways,SA,SAA
Southern Air Charter,PL,SOA
Southern Airways Express,9X,FDY
Southern Cross International,,SXI
Southern Illinois University School of Aviation,,CBN
Southwest Aircraft Charter,,CAK
Southwest Airlines,WN,SWA
Southwind Airlines,2S,STW
SpaceBee Airlines,Y3,UZU
Spain - Air Force,,AME
Spain - Army,,ETF
Spain - Coast Guard,,SSM
